meal_description,carb,protein,fat,energy
Indulging in a delicious 100g TANGERINE FRUIT ICE BAR treat.,11.43,0.0,0.0,43
"For dinner, I am having 100g of THE ORIGINAL WORCESTERSHIRE SAUCE.",20.0,0.0,0.0,100
Treating myself to 100g of salted caramel core triple-filled light ice cream.,31.25,3.12,3.91,172
Lunch today includes a 100g TURKEY SAUSAGE SCRAMBLE BOWL.,7.58,9.09,5.05,111
I always have 100g of creamy vanilla almond butter on hand for a satisfying treat.,28.12,18.75,46.88,594
Savoring a delicious 100g serving of vanilla cake in a cup.,81.58,5.26,6.58,395
I like to snack on 100g of VEGAN SPREAD & DIP MINIS in the afternoon.,2.7,5.41,29.73,270
"Having a tasty 100g WESTPAC, QUICK 'N EASY COMBOS, ASPARAGUS STIR FRY for dinner tonight.",5.21,1.04,0.0,31
I like to pair my curry with 100g white basmati Indian rice.,77.55,8.16,0.0,347
"For a quick snack, I grabbed a 100g white sub roll.",50.0,10.0,2.22,267
"My favorite meal consists of 100g wild caught salmon sausage, Italian.",5.71,14.29,0.71,86
Satisfying my sweet tooth with 100g of YOGURT MINI PRETZELS.,72.41,3.45,20.69,483
Incorporating 100g zesty peppers into my dish.,7.14,0.0,0.0,18
